sentence;url;place;lat;lon;sentiment_score;sentiment
asylum seekers are arriving in Europe and the US;http://morungexpress.com/three-countries-protect-half-the-worlds-new-refugees/;Bangladesh;24.0;90.0;0.0;neutral
Refugees is 'Political Message for Old Europe';https://sputniknews.com/europe/201806241065718848-macron-salvini-migration-row/;Germany;51.0;9.0;0.05;positive
migrants are fleeing from become economically secured and safe so that their citizens will want to remain there.;http://www.thereporter.com/opinion/20180624/danette-mitchell-issues-affecting-american-children-are-just-as-urgent;Honduras;15.0;-86.5;0.4;positive
refugees are living in Turkey, of whom 3.6 million are Syrians.;https://sputniknews.com/analysis/201806241065713985-turkey-syrian-refugees-elections-influence/;Turkey;39.0;35.0;0.0;neutral
refugees who are forced to flee their homes because of war or persecution.;http://www.thecitizen.in/index.php/en/NewsDetail/index/4/14185/Zero-Tolerance-Hard-States-Crack-Down-on-Refugees-Hit-By-War-and-Persecution;United States;38.0;-97.0;-0.3;negative
migrant children are harmful psychologically and physiologically — and could be damaging to them for the rest of their lives.;https://www.freep.com/story/life/family/2018/06/24/immigrant-kids-lifelong-problems/725190002/;United States;38.0;-97.0;0.0;neutral
refugees are said to have created in Europe … alarm the Chinese,” Yun Sun of the Brookings Institute told Foreign Policy last year.;http://slinkingtowardretirement.com/?p=289192;China;35.0;105.0;-0.042;negative
Refugee Resettlement is not legally responsible for the children once they are handed over to a sponsor.;https://www.azcentral.com/story/opinion/op-ed/ej-montini/2018/06/23/feds-migrant-1-475-children-border-immigrantion/726733002/;United States;38.0;-97.0;-0.1;negative
migrant children are currently being detained.;https://www.abqjournal.com/1188526/trump-shows-true-colors-with-immigration-policy.html;United States;38.0;-97.0;0.0;neutral
Refugee Day is set aside to honor the courage and resilience of people who came to the United States fleeing persecution, conflict or natural disasters.;https://www.benzinga.com/pressreleases/18/06/p11925425/kansas-city-university-student-describes-his-refugee-experience;United States;38.0;-97.0;0.1;positive
refugees who are in great need of assistance,” Islamic Relief USA President Anwar Khan said in a statement published in January of 2018.;https://www.newstalkflorida.com/featured/report-taxpayers-money-going-to-islamic-charity-group-with-ties-to-terrorist-groups/;United Arab Emirates;24.0;54.0;0.8;positive
refugees could not be debated.;http://www.australiannews.net/news/257547083/the-democracy-deficit---it-an-economic-problem-too;Nauru;-0.53;166.92;0.0;neutral
Refugee Agency, are more than 5,000 who have arrived from neighbouring Burkina Faso in recent months.;https://foreignaffairs.co.nz/2018/06/24/mil-osi-united-nations-grandi-calls-on-donor-nations-to-help-stabilize-africas-conflict-zones/;Burkina Faso;13.0;-2.0;0.25;positive
migrants is incorrect.;https://relativitydigest.com/2018/06/24/the-likelihood-of-an-illegal-immigrant-committing-a-crime-in-the-united-states/;United States;38.0;-97.0;0.0;neutral
migrant children are being held in facilities run by the Office of Refugee Resettlement within the Department of Health and Human Services.;http://www.globalpossibilities.org/trump-says-hell-be-signing-something-that-will-keep-families-detained-at-the-border-together/;United States;38.0;-97.0;0.0;neutral
migrants are wrestling with the administration’s changing immigration policies, says Sister Magdalena Silva, who runs the migrant shelter.;https://www.opb.org/news/article/npr-migrants-are-stuck-in-mexico-with-violence-back-home-and-zero-tolerance-in-the-us/;Mexico;23.0;-102.0;0.0;neutral
migrants is to try to cause them to be a part of a terrorist group.;https://www.cbsnews.com/news/full-transcript-face-the-nation-for-june-24-2018/;United States;38.0;-97.0;0.0;neutral
refugees is a crime.;https://crooksandliars.com/2018/06/children-are-lost-and-someone-needs-pay;United States;38.0;-97.0;0.0;neutral
migrants are treated like stray dogs on arrival.;https://ipolitics.ca/2018/06/24/the-terrible-price-of-zero-tolerance-immigration/;Mexico;23.0;-102.0;0.0;neutral
Asylum seekers are people escaping past or future persecution because of race, religion, ethnicity, political opinion, or membership in a particular social group.;http://www.sdjewishworld.com/2018/06/23/reunite-and-aid-asylum-families-now/;Guatemala;15.5;-90.25;-0.01;negative
refugee population is 4.2 million;http://www.atimes.com/article/reports-highlight-displaced-rohingya-and-business-agendas/;Malaysia;2.5;112.5;0.0;neutral
Refugees are strictly vetted as a result of the ban, which the Supreme Court allowed to take effect while it's still being challenged in lower court.;https://www.msn.com/en-us/news/politics/in-syria-trump-travel-ban-case-is-being-watched-closely/ar-AAz4KZN;Germany;51.0;9.0;0.0;neutral
asylum seekers will not be turned away.;https://www.sanmarcosrecord.com/opinions/immigration-problems-not-yet-solved;United States;38.0;-97.0;0.0;neutral
migrants are considered refugees: Those escaping war or persecution are protected under the 1951 UN Refugee Convention and can't be turned away.;https://finance.yahoo.com/news/why-european-tension-rising-over-143925334.html;Malta;35.83;14.58;0.0;neutral
migrants is seen on the US side of the border looking across into Mexico.;http://www.dailymail.co.uk/news/article-5879149/Border-Patrol-rescues-57-illegal-immigrants-stranded-Arizona-desert-smugglers.html;Mexico;23.0;-102.0;0.0;neutral
refugee camp is considered closed when the last alien leaves either on repatriation or is moved to another camp.;https://www.the-star.co.ke/news/2018/06/25/unhcr-to-give-dadaab-facilities-to-government_c1777038;Kenya;1.0;38.0;-0.117;negative
migrants are treated badly.;http://www.thejakartapost.com/academia/2018/06/24/opinion-i-want-us-officials-to-stop-misusing-the-bible.html;Italy;42.83;12.83;-0.7;negative
migrants aboard are in need of rescue off Libya's coast, but that Italy has declined its offer of help.;https://www.msn.com/en-ca/news/world/italy-spanish-aid-group-at-odds-over-1000-migrants-at-sea/ar-AAz5Qdv;Italy;42.83;12.83;0.0;neutral
refugees today is being tackled in a populist and sectarian manner, and most importantly through an approach that exploits this issue to open the door for the return of Syrian influence to Lebanon.;http://english.alarabiya.net/en/views/news/middle-east/2018/06/24/Syrian-refugees-in-Lebanon-and-the-policy-of-escapism.html;Lebanon;33.83;35.83;0.3;positive
refugees are unfounded.;http://www.spokesman.com/stories/2018/jun/24/boise-welcomes-20-new-citizens-on-world-refugee-da/;United States;38.0;-97.0;0.0;neutral
migrant child is cared for in shelters run by the Department of Health and Human Services.;http://thepinetree.net/index.php?module=announce&ANN_user_op=view&ANN_id=57880;United States;38.0;-97.0;0.0;neutral
Refugees (UNHCR) are cautious about setting up ‘‘hot spots’’ outside of Europe to filter people fleeing violence at home from those trying to get to the continent to improve their lives economically.;https://www.bostonglobe.com/news/world/2018/06/24/leaders-back-migrant-reception-centers-africa-balkans/PTirazR3sMEXEO5yOAiqtN/story.html;Niger;16.0;8.0;0.183;positive
migrants are receiving some kind of welfare benefit.;https://www.americanthinker.com/articles/2018/06/kidtrina.html;United States;38.0;-97.0;0.6;positive
migrants are stealing our jobs, government contracts and appointments, and educational opportunities.;https://chicago.suntimes.com/columnists/trumps-so-bad-that-hes-uniting-african-americans-and-latinos/;Puerto Rico;18.25;-66.5;0.25;positive
